rank,uid,username,type
1,8668075,Negativeday单推版,总督
2,1430567,Mayoi0v0,总督
3,3546568349190684,peach好吃,总督
4,3863280,月亮掉进井里啦,总督
5,50371474,账号已注销,提督
6,1718999,チェリーぴよ,提督
7,4691031,如花似君,提督
8,2103201,噜噜露露lulu猪,提督
9,23364462,luluのbochi,提督
10,137909049,Arthurceアーサー,提督
11,197297,满足,提督
12,438677,ルルカ,提督
13,844701,身上有lu的香水味_香水,提督
14,405213828,夏忆Smile,提督
15,13490987,雫るる的maro,提督
16,554248025,階段を上るふみこ,提督
17,10107894,时间的陈迹,提督
18,12695530,AbsintheIC,提督
19,19289115,NyaAoi,提督
20,3841380,suleizc,提督
21,468341,水守Payne,提督
22,8339343,麻衣さん最高です,提督
23,12889974,凝如实,提督
24,54043,肉_汁,提督
25,1800983,Veritas21,提督
26,251075309,艺术诗人阿克曼,提督
27,527868,MIDORIガチ,提督
28,386584259,AqukinMaster,提督
29,438662737,涅梅西斯_4847,提督
30,335316784,总是被るる无视,提督
31,2269028,波波波波羊,提督
32,6370097,执事只是挚食芝士,提督
33,111868,SayakaS,提督
34,7605,單调-多彩,提督
35,23552934,妃子依笑Studio,提督
36,2991831,三井寿头,提督
37,25101519,想水的鱼,提督
38,66758611,假笑保护伞,提督
39,4042688,水煮肉片饭饭饭,提督
40,28168725,秋鱼_0へ0,提督
41,3121889,BP王,提督
42,1534878,酱油窝蹲,提督
43,228952217,希望你开心雫,提督
44,12175462,矸小亓,提督
45,176591887,雨帝降雨,提督
46,86002678,随便起一个就好了啊,提督
47,384612754,懒裤裆の张哥,提督
48,23538831,发条不灵,提督
49,22982722,巴御前は俺の嫁,提督
50,375143185,就当作是寂寞,提督
51,39554268,AdSparkling,提督
52,56515354,柒七漆七,提督
53,680269,绯红の破晓,提督
54,6414823,雫塔莎罗斯托娃,提督
55,28527491,火星上的小小白,提督
56,34437835,ちゃぶ多㥁楽,提督
57,57085280,第三方发现,提督
58,170253411,我的爱一文不值,提督
59,383265086,烈火挖掘机,提督
60,2289607,Darkness-TX,提督
61,217410,比那名居小江,提督
62,38189668,ニアnya,提督
63,15401154,ioal-zx,提督
64,247559680,忘记过去zz,提督
65,8174622,るる超爱拉面,提督
66,3085170,江户小龟,提督
67,14362424,OGC123,提督
68,23846838,ysliang,提督
69,591332433,WangRZ0v0,提督
70,282795081,晚非桑榆,提督
71,40405308,城市里的异乡人,提督
72,3546383644625132,里奧梅南,提督
73,115660,蔺无双双双双双,舰长
74,7226859,南雍雪境,舰长
75,297899,大富豪貧民,舰长
76,457388376,姆q老师,舰长
77,25893271,蛤蟆小金_,舰长
78,49387718,鱼雨晴_,舰长
79,431385327,账号已注销,舰长
80,72328233,三玖丨三玖,舰长
81,427772,忍者猫,舰长
82,490825372,桐楠柯,舰长
83,3464517,西村有狗子,舰长
84,3494359815162159,須河原晶,舰长
85,2022280525,lulu衿天喝明前雫莉,舰长
86,2267307,哆啦贡荡斯,舰长
87,258991556,拿着小锤敲坏蛋,舰长
88,85163,摸鱼丸,舰长
89,143641,御意见无用-,舰长
90,160,博丽灵梦,舰长
91,663719,K1rin_,舰长
92,17052827,諏訪丶丶ミジュマル,舰长
93,3158731,一只无聊的打工人,舰长
94,1113205,这里是小九喵,舰长
95,12197950,hun害怕,舰长
96,7920069,快丨好吗,舰长
97,14988107,肥奥-胖兰度,舰长
98,300215,雫lu豆,舰长
99,192476553,OSIRIS_REX,舰长
100,314345,微风如晨,舰长
101,1810032,直美MJきびつい,舰长
102,2229984,境界上のホライゾン,舰长
103,28939986,后工业艺术,舰长
104,26597121,努力挣钱的jill,舰长
105,298253987,Maro_OfficiaI,舰长
106,278120467,绫的可能性,舰长
107,96871707,我的lu宝_是风动,舰长
108,14007275,霸啦霸霸霸,舰长
109,61350,妖妖の梦,舰长
110,2148613,豆沙豆浆,舰长
111,23936896,冰云__,舰长
112,3743109,794wu,舰长
113,348834127,俾格易尔,舰长
114,21574091,舐魂kq,舰长
115,505775,捡垃圾的sawa,舰长
116,7269079,文若兮,舰长
117,20109683,一只潜水鸡,舰长
118,17626083,一只迎春花,舰长
119,378951,亦無忧,舰长
120,520026907,平穹亥咕呱QAQ,舰长
121,370130953,石琳君,舰长
122,1627303,oxygen_lulu,舰长
123,67692415,ひたちまこYC,舰长
124,2122210,DDDRACO_,舰长
125,9981158,影陌_inami,舰长
126,8063582,妹子你很不错,舰长
127,14695633,花果山董依依,舰长
128,807,霧珠れいむ,舰长
129,28463040,AaBbCcXxxx,舰长
130,88375022,LAるる,舰长
131,3349214,海洛伊丝_,舰长
132,1595435530,我没有钱我不要脸-8-,舰长
133,15560449,稚面素心,舰长
134,177237329,6枚硬币太贵啦,舰长
135,30288,EPXIVII,舰长
136,278006268,KevinWhiteCloud,舰长
137,880884,ShawwwJune,舰长
138,561565,icemon,舰长
139,51260329,雨林是雫个,舰长
140,3269606,新子憧Official,舰长
141,389297944,C繁,舰长
142,11635383,saojia456,舰长
143,33774103,comenosweetdeath,舰长
144,343781321,るる今天也想吃麦当劳,舰长
145,22748041,cccccccchang,舰长
146,130500,吸管伯爵,舰长
147,289903672,北海こいし,舰长
148,321589,圆神圆神圆,舰长
149,9192610,丿嘲笑,舰长
150,557624,魔菇先生_Official,舰长
151,4983100,Romola7,舰长
152,35853257,C_hdddd,舰长
153,12590566,麵麵麵麵麺,舰长
154,22034735,喜欢猫咪汉堡,舰长
155,129157,臭OTAKU,舰长
156,23194074,大锐啦啦啦,舰长
157,35173225,修行中的大魔法师,舰长
158,6417403,SmartDiffusionAI,舰长
159,14368,赤道上的冰雪,舰长
160,584430,ふゆゆゆゆ,舰长
161,833741,ルリルル,舰长
162,4511000,珊儿在练字,舰长
163,181098204,五没有花肉,舰长
164,2686958,St_CC肄业生,舰长
165,38935852,单推Aimer八年,舰长
166,1310062580,污污污火车,舰长
167,229614,Dima门徒,舰长
168,3107936,Oh-Oh-傲,舰长
169,322078333,有位高手在南方,舰长
170,12332413,霖灶sino,舰长
171,62028,从事国宝工作,舰长
172,1330725,霜月十三,舰长
173,32817258,Jeremy_Chen1015,舰长
174,420206,蟹になりたいね,舰长
175,8052136,cward2,舰长
176,255051,冰丽粒,舰长
177,14648715,Orzhelp,舰长
